964, 1662144410,0,964, 1662341620
964, 1667158952,1,964, 1667360956
964, 1671639492,1,964, 1671799526
964, 1675871528,2,964, 1676067778
964, 1680187416,3,964, 1680360928
964, 1684321317,5,964, 1684526433
964, 1688745078,8,964, 1688979976
964, 1700532930,13,964, 1700669332
964, 1703732974,21,964, 1703849318
964, 1707013838,34,964, 1707133068
964, 1709946294,55,964, 1710062740
964, 1712902828,89,964, 1713021346
964, 1716015598,144,964, 1716143698
964, 1719020554,233,964, 1719145980
964, 1722039220,377,964, 1722171810
964, 1725252910,610,964, 1725392774
964, 1728344204,987,964, 1728491980
964, 1731435020,1597,964, 1731604072
964, 1735728714,2584,964, 1735925254
964, 1738777494,4181,964, 1739015160
964, 1742077918,6765,964, 1742383806
964, 1745101382,10946,964, 1745516260
964, 1748771363,17711,964, 1749415465
964, 1752928414,28657,964, 1753806164
964, 1757139245,46368,964, 1758822337
964, 1762554530,75025,964, 1764813098
964, 1768321197,121393,964, 1771640761
964, 1774682778,196418,964, 1780041502
964, 1782987226,317811,964, 1791652960
964, 1795015820,514229,964, 1808706096
964, 1811951190,832040,964, 1834293002
964, 1838053577,1346269,964, 1874295507
964, 1877775352,2178309,964, 1984926702
964, 1989795928,3524578,964, 2085463533
964, 2089048585,5702887,964,-2046921197
964,-2043716584,9227465,964,-1795715054
964,-1792054572,14930352,964,-1381856497
964,-1377520880,24157817,964,-728384038
964,-724976785,39088169,965,345692800
965,349938297,63245986,965, 2087702542
965, 2092318358,102334155,966,555774791
